Pers.Livre	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Total Personnage
flaubert_madamebovary. pers1	[1.0, 0.0051]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
flaubert_madamebovary. pers2	[1.0, 0.0305]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	12
flaubert_madamebovary. pers3	[1.0, 0.0025]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
flaubert_madamebovary. pers4	[1.0, 0.0025]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
flaubert_madamebovary. pers5	[1.0, 0.0025]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
flaubert_madamebovary. pers6	[1.0, 0.0127]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	5
flaubert_madamebovary. pers7	[1.0, 0.0025]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
flaubert_madamebovary. pers8	[1.0, 0.0025]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
merimee_carmen. _	[0.4599, 0.2766]	[0.0, 0.0]	[0.0, 0.0]	[0.5401, 0.3216]	[0.0, 0.0]	[0.0, 0.0]	237
merimee_carmen. pers1	[1.0, 0.0355]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	14
merimee_carmen. pers2	[1.0, 0.0254]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	10
merimee_carmen. pers14	[1.0, 0.0025]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
merimee_carmen. pers4	[1.0, 0.0051]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
merimee_carmen. pers6	[0.2078, 0.0406]	[0.0, 0.0]	[0.0, 0.0]	[0.7922, 0.1533]	[0.0, 0.0]	[0.0, 0.0]	77
merimee_carmen. pers7	[1.0, 0.0051]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
merimee_carmen. pers3	[0.0667, 0.0076]	[0.0, 0.0]	[0.0, 0.0]	[0.9333, 0.1055]	[0.0, 0.0]	[0.0, 0.0]	45
merimee_carmen. pers10	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.6667, 0.0101]	[0.3333, 1.0]	[0.0, 0.0]	6
merimee_carmen. pers8	[0.5, 0.0025]	[0.0, 0.0]	[0.0, 0.0]	[0.5, 0.0025]	[0.0, 0.0]	[0.0, 0.0]	2
merimee_carmen. pers9	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0176]	[0.0, 0.0]	[0.0, 0.0]	7
merimee_carmen. pers11	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0025]	[0.0, 0.0]	[0.0, 0.0]	1
