Pers.Livre	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Cluster 6	Total Personnage
merimee_carmen. pers16	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0031]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
merimee_venusdille. _	[0.2326, 0.1333]	[0.1279, 0.0655]	[0.0058, 0.0217]	[0.3721, 0.0988]	[0.0116, 0.0131]	[0.0, 0.0]	[0.25, 0.089]	172
merimee_venusdille. pers1	[0.0328, 0.0067]	[0.3115, 0.0565]	[0.0656, 0.087]	[0.2131, 0.0201]	[0.1803, 0.0719]	[0.0, 0.0]	[0.1967, 0.0248]	61
merimee_venusdille. pers2	[0.0811, 0.01]	[0.3243, 0.0357]	[0.0, 0.0]	[0.4324, 0.0247]	[0.0, 0.0]	[0.0, 0.0]	[0.1622, 0.0124]	37
merimee_venusdille. pers3	[0.0179, 0.0033]	[0.375, 0.0625]	[0.0, 0.0]	[0.2321, 0.0201]	[0.1786, 0.0654]	[0.0, 0.0]	[0.1964, 0.0228]	56
merimee_venusdille. pers4	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0327]	[0.0, 0.0]	[0.0, 0.0]	5
merimee_venusdille. pers5	[0.0, 0.0]	[0.0, 0.0]	[0.4, 0.0435]	[0.0, 0.0]	[0.6, 0.0196]	[0.0, 0.0]	[0.0, 0.0]	5
merimee_venusdille. pers6	[0.0, 0.0]	[0.25, 0.003]	[0.25, 0.0217]	[0.0, 0.0]	[0.5, 0.0131]	[0.0, 0.0]	[0.0, 0.0]	4
merimee_venusdille. pers7	[0.0, 0.0]	[0.2308, 0.0179]	[0.0, 0.0]	[0.4615, 0.0185]	[0.1538, 0.0261]	[0.0, 0.0]	[0.1538, 0.0083]	26
merimee_venusdille. pers8	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.087]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
merimee_venusdille. pers10	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.25, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.75, 0.0062]	4
merimee_venusdille. pers11	[0.125, 0.0033]	[0.25, 0.006]	[0.0, 0.0]	[0.625, 0.0077]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	8
merimee_venusdille. pers12	[0.0, 0.0]	[1.0, 0.006]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
merimee_venusdille. pers13	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0031]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
zeltner_contes. _	[0.1772, 0.0467]	[0.038, 0.0089]	[0.0, 0.0]	[0.3418, 0.0417]	[0.0253, 0.0131]	[0.0, 0.0]	[0.4177, 0.0683]	79
zeltner_contes. mere	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0065]	[0.0, 0.0]	[0.0, 0.0]	1
zeltner_contes. Koli	[0.0606, 0.0067]	[0.2121, 0.0208]	[0.0, 0.0]	[0.4242, 0.0216]	[0.1818, 0.0392]	[0.0, 0.0]	[0.1212, 0.0083]	33
zeltner_contes. marchands	[0.0, 0.0]	[0.25, 0.0089]	[0.0833, 0.0217]	[0.3333, 0.0062]	[0.0833, 0.0065]	[0.0, 0.0]	[0.25, 0.0062]	12
zeltner_contes. chef	[0.0, 0.0]	[0.2857, 0.006]	[0.0, 0.0]	[0.7143, 0.0077]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	7
zeltner_contes. assistants	[0.0, 0.0]	[0.25, 0.003]	[0.25, 0.0217]	[0.0, 0.0]	[0.5, 0.0131]	[0.0, 0.0]	[0.0, 0.0]	4
zeltner_contes. meremarchand	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
zeltner_contes. marchand	[0.2, 0.0033]	[0.4, 0.006]	[0.0, 0.0]	[0.2, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.2, 0.0021]	5
zeltner_contes. vxpere	[0.0, 0.0]	[0.2, 0.003]	[0.0, 0.0]	[0.2, 0.0015]	[0.2, 0.0065]	[0.2, 1.0]	[0.2, 0.0021]	5
zeltner_contes. sofas	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
zeltner_contes. roi	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.3333, 0.0015]	[0.6667, 0.0131]	[0.0, 0.0]	[0.0, 0.0]	3
Total	[0.1525, 1.0]	[0.1708, 1.0]	[0.0234, 1.0]	[0.3294, 1.0]	[0.0778, 1.0]	[0.0005, 1.0]	[0.2456, 1.0]	1967
