Pers.Livre	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Total Personnage
merimee_carmen. pers8	[0.0, 0.0]	[1.0, 0.0092]	[0.0, 0.0]	[0.0, 0.0]	2
merimee_carmen. pers9	[0.1429, 0.001]	[0.0, 0.0]	[0.8571, 0.0088]	[0.0, 0.0]	7
merimee_carmen. pers11	[1.0, 0.001]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
merimee_carmen. pers12	[0.2, 0.001]	[0.4, 0.0092]	[0.0, 0.0]	[0.4, 0.0426]	5
merimee_carmen. pers13	[0.5, 0.002]	[0.5, 0.0092]	[0.0, 0.0]	[0.0, 0.0]	4
merimee_carmen. pers15	[1.0, 0.0049]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	5
merimee_carmen. pers16	[1.0, 0.002]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
merimee_venusdille. _	[0.564, 0.0949]	[0.0174, 0.0138]	[0.4128, 0.1044]	[0.0058, 0.0213]	172
merimee_venusdille. pers1	[0.4426, 0.0264]	[0.2623, 0.0734]	[0.2295, 0.0206]	[0.0656, 0.0851]	61
merimee_venusdille. pers2	[0.5676, 0.0205]	[0.2973, 0.0505]	[0.1351, 0.0074]	[0.0, 0.0]	37
merimee_venusdille. pers3	[0.4821, 0.0264]	[0.3036, 0.078]	[0.2143, 0.0176]	[0.0, 0.0]	56
merimee_venusdille. pers4	[0.0, 0.0]	[1.0, 0.0229]	[0.0, 0.0]	[0.0, 0.0]	5
merimee_venusdille. pers5	[0.0, 0.0]	[0.6, 0.0138]	[0.0, 0.0]	[0.4, 0.0426]	5
merimee_venusdille. pers6	[0.25, 0.001]	[0.5, 0.0092]	[0.0, 0.0]	[0.25, 0.0213]	4
merimee_venusdille. pers7	[0.6154, 0.0157]	[0.2308, 0.0275]	[0.1538, 0.0059]	[0.0, 0.0]	26
merimee_venusdille. pers8	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0851]	4
merimee_venusdille. pers10	[0.5, 0.002]	[0.0, 0.0]	[0.5, 0.0029]	[0.0, 0.0]	4
merimee_venusdille. pers11	[0.875, 0.0068]	[0.0, 0.0]	[0.125, 0.0015]	[0.0, 0.0]	8
merimee_venusdille. pers12	[1.0, 0.002]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
merimee_venusdille. pers13	[1.0, 0.002]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
zeltner_contes. _	[0.481, 0.0372]	[0.038, 0.0138]	[0.481, 0.0559]	[0.0, 0.0]	79
zeltner_contes. mere	[0.0, 0.0]	[1.0, 0.0046]	[0.0, 0.0]	[0.0, 0.0]	1
zeltner_contes. Koli	[0.6364, 0.0205]	[0.2424, 0.0367]	[0.1212, 0.0059]	[0.0, 0.0]	33
zeltner_contes. marchands	[0.6667, 0.0078]	[0.0833, 0.0046]	[0.1667, 0.0029]	[0.0833, 0.0213]	12
zeltner_contes. chef	[1.0, 0.0068]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	7
zeltner_contes. assistants	[0.25, 0.001]	[0.5, 0.0092]	[0.0, 0.0]	[0.25, 0.0213]	4
zeltner_contes. meremarchand	[1.0, 0.001]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
zeltner_contes. marchand	[0.6, 0.0029]	[0.0, 0.0]	[0.4, 0.0029]	[0.0, 0.0]	5
zeltner_contes. vxpere	[0.6, 0.0029]	[0.2, 0.0046]	[0.2, 0.0015]	[0.0, 0.0]	5
zeltner_contes. sofas	[1.0, 0.001]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
zeltner_contes. roi	[0.3333, 0.001]	[0.6667, 0.0092]	[0.0, 0.0]	[0.0, 0.0]	3
Total	[0.5196, 1.0]	[0.1108, 1.0]	[0.3457, 1.0]	[0.0239, 1.0]	1967
